treatment_cell,behavior,count,denominator,denominator_definition,rate
no_prior_shared_project_history|credible_alternative,switch_decision,1,2,valid runs in treatment cell,0.5
no_prior_shared_project_history|credible_alternative,agreement_type:price_relief_and_advance,1,2,valid runs in treatment cell,0.5
no_prior_shared_project_history|credible_alternative,agreement_type:replace_supplier,1,2,valid runs in treatment cell,0.5
no_prior_shared_project_history|weak_alternative,switch_decision,0,2,valid runs in treatment cell,0.0
no_prior_shared_project_history|weak_alternative,agreement_type:price_relief_and_advance,2,2,valid runs in treatment cell,1.0
prior_success_with_remediated_issue|credible_alternative,switch_decision,1,2,valid runs in treatment cell,0.5
prior_success_with_remediated_issue|credible_alternative,agreement_type:price_relief_and_advance,1,2,valid runs in treatment cell,0.5
prior_success_with_remediated_issue|credible_alternative,agreement_type:replace_supplier,1,2,valid runs in treatment cell,0.5
prior_success_with_remediated_issue|weak_alternative,switch_decision,0,2,valid runs in treatment cell,0.0
prior_success_with_remediated_issue|weak_alternative,agreement_type:price_relief_and_advance,2,2,valid runs in treatment cell,1.0
