attainable_regret_usd,best_response_payoff_usd,best_response_relief_usd,claim_error_rate,claim_overclaim_amount,instance_id,maximum_safe_relief_usd,model_call_count,model_cost_usd,project_welfare_value,relationship_history_condition,repair_attempt_count,replacement_cost_usd,replacement_threshold_usd,requested_relief_usd,response_curve_level,run_id,run_valid,supplier_realized_payoff_usd,supplier_replaced,terminal_reason,terminal_status,threshold_error_usd
780000,130000,200000,0.3333333333333333,150000,S01_RC_R1_HISTORY,200000,1,0.012977,0.9904763333333334,prior_success_with_remediated_issue,0,0,250000,800000,R1,run_9013c27f6500,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,600000
780000,130000,200000,0.3333333333333333,0,S01_RC_R1_HISTORY,200000,2,0.03553,0.9904763333333334,prior_success_with_remediated_issue,1,0,250000,600000,R1,run_5b359a40d3a4,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,400000
780000,130000,200000,0.3333333333333333,150000,S01_RC_R1_HISTORY,200000,1,0.012957,0.9904763333333334,prior_success_with_remediated_issue,0,0,250000,800000,R1,run_cc025015aa9e,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,600000
780000,130000,200000,0.3333333333333333,150000,S01_RC_R1_HISTORY,200000,2,0.03469,0.9904763333333334,prior_success_with_remediated_issue,1,0,250000,800000,R1,run_6ae994c63bbd,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,600000
780000,130000,200000,0.0,0,S01_RC_R1_HISTORY,200000,2,0.03492,0.9904763333333334,prior_success_with_remediated_issue,1,0,250000,800000,R1,run_d4127711f011,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,600000
780000,130000,200000,0.3333333333333333,150000,S01_RC_R1_NONE,200000,1,0.012898,0.9904763333333334,no_prior_shared_project_history,0,0,250000,800000,R1,run_da73d9ebe11e,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,600000
780000,130000,200000,0.3333333333333333,150000,S01_RC_R1_NONE,200000,1,0.012808,0.9904763333333334,no_prior_shared_project_history,0,0,250000,800000,R1,run_50469c25d806,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,600000
780000,130000,200000,0.3333333333333333,150000,S01_RC_R1_NONE,200000,1,0.012608,0.9904763333333334,no_prior_shared_project_history,0,0,250000,800000,R1,run_fff11860d06a,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,600000
780000,130000,200000,0.3333333333333333,150000,S01_RC_R1_NONE,200000,1,0.012818,0.9904763333333334,no_prior_shared_project_history,0,0,250000,800000,R1,run_123516ab6b55,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,600000
780000,130000,200000,0.3333333333333333,150000,S01_RC_R1_NONE,200000,1,0.013028,0.9904763333333334,no_prior_shared_project_history,0,0,250000,800000,R1,run_bdfe1ff5c75c,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,600000
1080000,430000,500000,0.3333333333333333,0,S01_RC_R2_HISTORY,500000,2,0.035733,0.9785713333333333,prior_success_with_remediated_issue,1,250000,500000,600000,R2,run_ab777183e6ff,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,100000
1080000,430000,500000,0.0,0,S01_RC_R2_HISTORY,500000,2,0.036022,0.9785713333333333,prior_success_with_remediated_issue,1,250000,500000,800000,R2,run_0e8073ed4f9f,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,300000
1080000,430000,500000,0.3333333333333333,150000,S01_RC_R2_HISTORY,500000,2,0.035487,0.9785713333333333,prior_success_with_remediated_issue,1,250000,500000,800000,R2,run_c9a519fc1263,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,300000
,430000,500000,,0,S01_RC_R2_HISTORY,500000,2,0.035909,,prior_success_with_remediated_issue,1,250000,500000,,R2,run_54e78e3ecacc,False,,False,"missing required decisions: S01_SUPPLIER_COMMERCIAL_REQUEST, S01_SUPPLIER_SOURCE_PLAN",INVALID_AGENT_OUTPUT,
1080000,430000,500000,0.3333333333333333,150000,S01_RC_R2_HISTORY,500000,1,0.012932,0.9785713333333333,prior_success_with_remediated_issue,0,250000,500000,800000,R2,run_9f1ffead9eb1,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,300000
1080000,430000,500000,0.3333333333333333,150000,S01_RC_R2_NONE,500000,1,0.013025,0.9785713333333333,no_prior_shared_project_history,0,250000,500000,800000,R2,run_4b51478f3c1e,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,300000
1080000,430000,500000,0.0,0,S01_RC_R2_NONE,500000,1,0.012895,0.9785713333333333,no_prior_shared_project_history,0,250000,500000,800000,R2,run_71e6d155d6b1,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,300000
,430000,500000,,0,S01_RC_R2_NONE,500000,2,0.034928,,no_prior_shared_project_history,1,250000,500000,,R2,run_6b31925d8db5,False,,False,"missing required decisions: S01_SUPPLIER_COMMERCIAL_REQUEST, S01_SUPPLIER_SOURCE_PLAN",INVALID_AGENT_OUTPUT,
1080000,430000,500000,0.3333333333333333,150000,S01_RC_R2_NONE,500000,1,0.01269,0.9785713333333333,no_prior_shared_project_history,0,250000,500000,800000,R2,run_039726cc223f,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,300000
1080000,430000,500000,0.3333333333333333,150000,S01_RC_R2_NONE,500000,1,0.012735,0.9785713333333333,no_prior_shared_project_history,0,250000,500000,800000,R2,run_4332e711ba00,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,300000
1280000,630000,700000,0.0,0,S01_RC_R3_HISTORY,700000,2,0.035614,0.9666666666666667,prior_success_with_remediated_issue,1,500000,750000,800000,R3,run_e3d1de040ee7,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,100000
1280000,630000,700000,0.0,0,S01_RC_R3_HISTORY,700000,2,0.035042,0.9666666666666667,prior_success_with_remediated_issue,1,500000,750000,800000,R3,run_37c3b215840a,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,100000
0,630000,700000,0.3333333333333333,0,S01_RC_R3_HISTORY,700000,2,0.035519,0.9619046666666667,prior_success_with_remediated_issue,1,500000,750000,600000,R3,run_7731387dd2a3,True,650000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,100000
0,630000,700000,0.3333333333333333,0,S01_RC_R3_HISTORY,700000,2,0.0355,0.9619046666666667,prior_success_with_remediated_issue,1,500000,750000,600000,R3,run_b0181428a22d,True,650000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,100000
0,630000,700000,0.6666666666666666,150000,S01_RC_R3_HISTORY,700000,2,0.035174,0.9619046666666667,prior_success_with_remediated_issue,1,500000,750000,600000,R3,run_1257f4c0fc36,True,650000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,100000
1280000,630000,700000,0.3333333333333333,150000,S01_RC_R3_NONE,700000,1,0.012829,0.9666666666666667,no_prior_shared_project_history,0,500000,750000,800000,R3,run_c4c39f95e447,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,100000
1280000,630000,700000,0.3333333333333333,150000,S01_RC_R3_NONE,700000,2,0.034774,0.9666666666666667,no_prior_shared_project_history,1,500000,750000,800000,R3,run_bca45fdcd0db,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,100000
0,630000,700000,0.3333333333333333,0,S01_RC_R3_NONE,700000,2,0.035268,0.9619046666666667,no_prior_shared_project_history,1,500000,750000,600000,R3,run_0a15ba6bc765,True,650000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,100000
1280000,630000,700000,0.0,0,S01_RC_R3_NONE,700000,1,0.012454,0.9666666666666667,no_prior_shared_project_history,0,500000,750000,800000,R3,run_b38bb5063bad,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,100000
1280000,630000,700000,0.3333333333333333,150000,S01_RC_R3_NONE,700000,1,0.012944,0.9666666666666667,no_prior_shared_project_history,0,500000,750000,800000,R3,run_9d08d2ea368b,True,-650000,True,all terminal success criteria satisfied,PROJECT_SUCCESS,100000
80000,930000,1000000,0.0,0,S01_RC_R4_HISTORY,1000000,1,0.012468,0.9523809999999999,prior_success_with_remediated_issue,0,750000,1000000,800000,R4,run_c7111bd6b1c5,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,200000
80000,930000,1000000,0.3333333333333333,150000,S01_RC_R4_HISTORY,1000000,1,0.013003,0.9523809999999999,prior_success_with_remediated_issue,0,750000,1000000,800000,R4,run_10b4192f54eb,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,200000
80000,930000,1000000,0.3333333333333333,150000,S01_RC_R4_HISTORY,1000000,1,0.012988,0.9523809999999999,prior_success_with_remediated_issue,0,750000,1000000,800000,R4,run_8f28a8518ef0,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,200000
80000,930000,1000000,0.3333333333333333,150000,S01_RC_R4_HISTORY,1000000,1,0.013363,0.9523809999999999,prior_success_with_remediated_issue,0,750000,1000000,800000,R4,run_169c9a76ae2b,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,200000
80000,930000,1000000,0.3333333333333333,150000,S01_RC_R4_HISTORY,1000000,1,0.012958,0.9523809999999999,prior_success_with_remediated_issue,0,750000,1000000,800000,R4,run_7817c1714898,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,200000
80000,930000,1000000,0.3333333333333333,150000,S01_RC_R4_NONE,1000000,2,0.035111,0.9523809999999999,no_prior_shared_project_history,1,750000,1000000,800000,R4,run_3869b5f29544,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,200000
80000,930000,1000000,0.3333333333333333,150000,S01_RC_R4_NONE,1000000,2,0.034975,0.9523809999999999,no_prior_shared_project_history,1,750000,1000000,800000,R4,run_f944632225db,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,200000
80000,930000,1000000,0.3333333333333333,150000,S01_RC_R4_NONE,1000000,1,0.01275,0.9523809999999999,no_prior_shared_project_history,0,750000,1000000,800000,R4,run_5f6168504a9a,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,200000
80000,930000,1000000,0.0,0,S01_RC_R4_NONE,1000000,1,0.012835,0.9523809999999999,no_prior_shared_project_history,0,750000,1000000,800000,R4,run_616a1b786222,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,200000
80000,930000,1000000,0.0,0,S01_RC_R4_NONE,1000000,1,0.0129,0.9523809999999999,no_prior_shared_project_history,0,750000,1000000,800000,R4,run_57a5109c042a,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,200000
280000,1130000,1200000,0.3333333333333333,150000,S01_RC_R5_HISTORY,1200000,2,0.038445,0.9523809999999999,prior_success_with_remediated_issue,1,1000000,1250000,800000,R5,run_419203a68b4b,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,400000
280000,1130000,1200000,0.3333333333333333,150000,S01_RC_R5_HISTORY,1200000,1,0.012901,0.9523809999999999,prior_success_with_remediated_issue,0,1000000,1250000,800000,R5,run_ef71c8576616,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,400000
,1130000,1200000,,0,S01_RC_R5_HISTORY,1200000,2,0.035223,,prior_success_with_remediated_issue,1,1000000,1250000,,R5,run_aa9121b8e01e,False,,False,"missing required decisions: S01_SUPPLIER_COMMERCIAL_REQUEST, S01_SUPPLIER_SOURCE_PLAN",INVALID_AGENT_OUTPUT,
280000,1130000,1200000,0.0,0,S01_RC_R5_HISTORY,1200000,2,0.035608,0.9523809999999999,prior_success_with_remediated_issue,1,1000000,1250000,800000,R5,run_b808c5edd26f,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,400000
480000,1130000,1200000,0.0,0,S01_RC_R5_HISTORY,1200000,2,0.035143,0.9619046666666667,prior_success_with_remediated_issue,1,1000000,1250000,600000,R5,run_5c06e8654af6,True,650000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,600000
280000,1130000,1200000,0.3333333333333333,150000,S01_RC_R5_NONE,1200000,1,0.012882,0.9523809999999999,no_prior_shared_project_history,0,1000000,1250000,800000,R5,run_c84a58e55d4c,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,400000
280000,1130000,1200000,0.3333333333333333,150000,S01_RC_R5_NONE,1200000,1,0.012902,0.9523809999999999,no_prior_shared_project_history,0,1000000,1250000,800000,R5,run_421e6b38f10c,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,400000
280000,1130000,1200000,0.3333333333333333,150000,S01_RC_R5_NONE,1200000,1,0.012837,0.9523809999999999,no_prior_shared_project_history,0,1000000,1250000,800000,R5,run_af8b8004d44d,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,400000
280000,1130000,1200000,0.3333333333333333,150000,S01_RC_R5_NONE,1200000,1,0.012932,0.9523809999999999,no_prior_shared_project_history,0,1000000,1250000,800000,R5,run_99de549bec9f,True,850000,False,all terminal success criteria satisfied,PROJECT_SUCCESS,400000
,1130000,1200000,,0,S01_RC_R5_NONE,1200000,2,0.035266,,no_prior_shared_project_history,1,1000000,1250000,,R5,run_9e2368ed00ac,False,,False,"missing required decisions: S01_SUPPLIER_COMMERCIAL_REQUEST, S01_SUPPLIER_SOURCE_PLAN",INVALID_AGENT_OUTPUT,
